alphabetic_country_rank,name,url,capital,languages,largest_religion,area_total,population,gdp_nominal_total,gdp_nominal_per_capita,currency,time_zone,observes_dst,calling_code,flag_path,anthem_path,duck_pop_rank,continent,alcohol_consumption,alcohol_consumption_ranked,Total_borders_km,Num_borders,Neighbors,flag_colours
1,Afghanistan,https://en.wikipedia.org/wiki/Afghanistan,Kabul,Pashto Dari,Dharmic Buddhism Hinduism Jainism Sikhism Islam Religious persecution Bangladesh India Pakistan,"652,864 km²",35 million,,,افغانى (AFN),UTC +4:30,0,+93,countries/Afghanistan_flag.png,,,Asia,0.0,191.0,"5,529",6.0,"Iran: 935 km (581 mi); Pakistan: 2,670 km (1,660 mi); Tajikistan: 1,206 km (749 mi); Turkmenistan: 744 km (462 mi); Uzbekistan: 144 km (89 mi); China: 106 km (66 mi)","Black, Green, Red, White"
2,Albania,https://en.wikipedia.org/wiki/Albania,Tirana,Albanian,50.67% Islam 45.86% Sunni 4.81% Bektashism 16.02% Christianity 8.39% Catholicism 7.23% Orthodoxy 0.40% Protestantism 17.37% Irreligion 13.83% Believers without religion 3.55% Atheism 15.92% Undeclared,"28,748 km²",2.4 million,,,(ALL),UTC +1,1,+355,countries/Albania_flag.png,countries/Albania_anthem.ogg,,Europe,2.59,81.0,720,4.0,Greece: 282 km (175 mi); Kosovo: 112 km (70 mi); North Macedonia: 151 km (94 mi); Montenegro: 172 km (107 mi),"Red, Black"
3,Algeria,https://en.wikipedia.org/wiki/Algeria,Algiers,Arabic Berber,99% Sunni Islam ( official ) <1% others,"2,381,741 km²",47.4 million,,,(DZD),UTC +1,0,+213,countries/Algeria_flag.png,countries/Algeria_anthem.mp3,54.0,Africa,0.27,138.0,"6,470",7.0,"Libya: 982 km (610 mi); Mali: 1,376 km (855 mi); Mauritania: 463 km (288 mi); Morocco: 1,559 km (969 mi); Niger: 956 km (594 mi); Tunisia: 1,010 km (630 mi); Western Sahara: 42 km (26 mi)","Green, Red, White"
4,Andorra,https://en.wikipedia.org/wiki/Andorra,Andorra la Vella,Catalan 44.1%,90.8% Christianity 85.5% Catholicism ( official )  5.3% other Christian 6.9% no religion 2.3% others,467.63 km²,"89,000",,,€ (EUR),UTC +1,1,+376,countries/Andorra_flag.png,countries/Andorra_anthem.mp3,,Europe,0.0,149.0,120,2.0,France: 56.6 km (35.2 mi); Spain: 63.7 km (39.6 mi),"Blue, Red, Yellow"
5,Angola,https://en.wikipedia.org/wiki/Angola,Luanda,"Chokwe , Kimbundu , Kikongo , Oshiwambo , Luchazi , Umbundu",79.1% Christianity 44.2% Catholic 34.9% Protestant 11.5% no religion 9.4% other,"1,246,700 km²",36.6 million,,,(AOA),UTC +1,0,+244,countries/Angola_flag.png,countries/Angola_anthem.ogg,,Africa,1.58,98.0,"5,198",4.0,"Democratic Republic of the Congo (2): 2,511 km (1,560 mi); Republic of the Congo: 201 km (125 mi); Namibia: 1,376 km (855 mi); Zambia: 1,110 km (690 mi)","Red, Black, Yellow"
6,Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda,St. John's,English,92.7% Christianity 66.6% Protestantism 26.1% other Christian 3.6% Rastafari 1.9% no religion 1.1% Baháʼí Faith 0.7% other,440 km²,"100,000",,,(XCD),UTC -4,0,+1,countries/Antigua_and_Barbuda_flag.png,countries/Antigua_and_Barbuda_anthem.ogg,,North America,0.0,155.0,0,0.0,,
7,Argentina,https://en.wikipedia.org/wiki/Argentina,Buenos Aires,Spanish,78.2% Christianity 62.9% Catholicism 15.3% other Christian 20.5% no religion 1.3% other,"2,780,085 km²",46.7 million,,,$ (ARS),UTC -3,0,+54,countries/Argentina_flag.png,countries/Argentina_anthem.ogg,25.0,South America,9.58,25.0,"9,665",5.0,"Bolivia: 832 km (517 mi); Brazil: 1,224 km (761 mi); Chile (2): 5,300 km (3,300 mi); Paraguay: 1,880 km (1,170 mi); Uruguay: 579 km (360 mi)","Light Blue, White"
8,Armenia,https://en.wikipedia.org/wiki/Armenia,Yerevan,Armenian,Armenian Apostolic Church Armenian Catholic Church Armenian Evangelical Church Armenian Brotherhood Church Judaism Islam more...,"29,743 km²",3.1 million,,,֏ (AMD),UTC +4,0,+374,countries/Armenia_flag.png,countries/Armenia_anthem.ogg,,Asia,0.84,119.0,"1,254",4.0,Azerbaijan (6): 787 km (489 mi); Georgia: 164 km (102 mi); Iran: 35 km (22 mi); Turkey: 268 km (167 mi),"Red, Blue, Orange"
9,Australia,https://en.wikipedia.org/wiki/Australia,Canberra,English,43.9% Christianity 38.9% no religion 3.2% Islam 2.7% Hinduism 2.4% Buddhism 1.7% other 7.2% unanswered,"7,688,287 km²",27.8 million,,,$ (AUD),UTC +8; +9.5; +10,1,+61,countries/Australia_flag.png,countries/Australia_anthem.ogg,34.0,Oceania,9.55,26.0,0,0.0,,"Blue, Red, White"
10,Austria,https://en.wikipedia.org/wiki/Austria,Vienna,German,68.2% Christianity 55.2% Catholicism 4.9% Orthodoxy 3.8% Protestantism 4.3% other Christian 22.4% no religion 8.3% Islam 1.1% other,"83,879 km²",9.1 million,,,€ (EUR),UTC +1,1,+43,countries/Austria_flag.png,countries/Austria_anthem.ogg,,Europe,11.9,12.0,"2,562",8.0,Czech Republic: 362 km (225 mi); Germany: 784 km (487 mi); Hungary: 366 km (227 mi); Italy: 430 km (270 mi); Liechtenstein: 34 km (21 mi); Slovakia: 96 km (60 mi); Slovenia: 330 km (210 mi); Switzerland (2): 164 km (102 mi),"Red, White"
