"Country/Territory","Population Count","Ducks Per Capita (per 1,000)"
"China","690,692,000","488"
"Vietnam","83,700,000","837"
"Bangladesh","63,845,000","376"
"Indonesia","58,352,000","208"
"India","33,421,000","24"
"France","22,076,000","340"
"Russia","21,359,000","149"
"Thailand","14,564,000","205"
"Philippines","12,000,000","105"
"Myanmar","10,000,000","179"
"Ukraine","9,960,000","277"
"Malaysia","9,697,000","285"
"Cambodia","8,805,000","518"
"United States of America","7,900,000","23"
"North Korea","7,392,000","284"
"Taiwan","7,385,000","308"
"Egypt","7,318,000","67"
"Poland","6,380,000","168"
"South Korea","4,823,000","93"
"Madagascar","4,534,000","151"
"Hungary","4,241,000","446"
"Pakistan","3,867,000","15"
"Laos","3,710,000","495"
"Brazil","3,403,000","16"
"Argentina","2,638,000","57"
"Mozambique","2,577,000","78"
"Sierra Leone","2,550,000","300"
"UK","2,355,000","35"
"Belarus","2,176,000","242"
"Iran","1,581,000","18"
"Canada","1,522,000","38"
"Paraguay","1,373,000","188"
"Tanzania","1,360,000","20"
"Australia","1,174,000","45"
"Bolivia","698,000","58"
"Netherlands","644,000","36"
"Nepal","606,000","20"
"Suriname","492,000","820"
"Turkey","432,000","5"
"South Africa","427,000","7"
"Ecuador","377,000","20"
"Liberia","337,000","62"
"Haiti","325,000","28"
"Brunei Darussalam","233,000","518"
"Hong Kong","232,000","31"
"New Zealand","183,000","35"
"Israel","176,000","18"
"Panama","121,000","27"
"Norway","120,000","22"
"Fiji","112,000","118"
"Serbia","88,000","13"
"Zimbabwe","88,000","6"
"Kyrgyzstan","85,000","12"
"Algeria","63,000","1"
"Denmark","53,000","9"
"Croatia","49,000","13"
"Syria","46,000","2"
"Equatorial Guinea","40,000","24"
"Mauritius","39,000","30"
"Sao Tome and Principe","34,000","148"
"French Polynesia","30,000","107"
"Rwanda","24,000","2"
"Papua New Guinea","18,000","2"
"Slovakia","16,000","3"
"Lithuania","15,000","6"
"Belize","13,000","29"
"Central African Republic","13,000","2"
"Sri Lanka","13,000","1"
"Slovenia","12,000","6"
"Bosnia and Herzegovina","7,000","2"
"Jordan","7,000","1"
"Switzerland","6,000","1"
"Seychelles","5,000","50"
