Country/Territory,Population Count,Ducks Per Capita (per 1.000)
China,690692000,488
Vietnam,83700000,837
Bangladesh,63845000,376
Indonesia,58352000,208
India,33421000,24
France,22076000,340
Russia,21359000,149
Thailand,14564000,205
Philippines,12000000,105
Myanmar,10000000,179
Ukraine,9960000,277
Malaysia,9697000,285
Cambodia,8805000,518
"United States of America",7900000,23
"North Korea",7392000,284
Taiwan,7385000,308
Egypt,7318000,67
Poland,6380000,168
"South Korea",4823000,93
Madagascar,4534000,151
Hungary,4241000,446
Pakistan,3867000,15
Laos,3710000,495
Brazil,3403000,16
Argentina,2638000,57
Mozambique,2577000,78
"Sierra Leone",2550000,300
UK,2355000,35
Belarus,2176000,242
Iran,1581000,18
Canada,1522000,38
Paraguay,1373000,188
Tanzania,1360000,20
Australia,1174000,45
Bolivia,698000,58
Netherlands,644000,36
Nepal,606000,20
Suriname,492000,820
Turkey,432000,5
"South Africa",427000,7
Ecuador,377000,20
Liberia,337000,62
Haiti,325000,28
"Brunei Darussalam",233000,518
"Hong Kong",232000,31
"New Zealand",183000,35
Israel,176000,18
Panama,121000,27
Norway,120000,22
Fiji,112000,118
Serbia,88000,13
Zimbabwe,88000,6
Kyrgyzstan,85000,12
Algeria,63000,1
Denmark,53000,9
Croatia,49000,13
Syria,46000,2
"Equatorial Guinea",40000,24
Mauritius,3900
