name,flag_colours
Afghanistan,"Black, Green, Red, White"
Albania,"Red, Black"
Algeria,"Green, Red, White"
American Samoa,"Blue, Red, White"
Andorra,"Blue, Red, Yellow"
Angola,"Red, Black, Yellow"
Anguilla,"Blue, White"
Antigua And Barbuda,"Red, Black, Blue, White, Yellow"
Argentina,"Light Blue, White"
Armenia,"Red, Blue, Orange"
Aruba,"Blue, Red, Yellow"
Australia,"Blue, Red, White"
Austria,"Red, White"
Azerbaijan,"Light Blue, Green, Red"
Bahamas,"Black, Aquamarine Blue, Yellow"
Bahrain,"Red, White"
Bangladesh,"Red, Green"
Barbados,"Blue, Black, Gold"
Belarus,"Red, Green, White"
Belgium,"Black, Red, Yellow"
Belize,"Blue, Red, White"
Benin,"Green, Red, Yellow"
Bermuda,Red
Bhutan,"Fulvous, Gold, White"
Bolivia,"Red, Green, Yellow"
Bosnia And Herzegovina,"Blue, White, Yellow"
Botswana,"Light Blue, Black, White"
Bouvet Island,"Blue, Red, White"
Brazil,"Green, Blue, Gold"
British Indian Ocean Territory,
Brunei Darussalam,"Yellow, Black, Red, White"
Bulgaria,"White, Green, Red"
Burkina Faso,"Red, Green, Yellow"
Burundi,"Red, Green, White"
Cabo Verde,"Blue, Gold, Red, White"
Cambodia,"Red, Blue, White"
Cameroon,"Red, Green, Yellow"
Canada,"Red, White"
Cayman,
Central African Republic,"Blue, Green, Red, White, Yellow"
Chad,"Blue, Red, Yellow"
Chile,"Red, Blue, White"
China,"Red, Gold"
Christmas Island,
Cocos Islands,
Colombia,"Yellow, Blue, Red"
Comoros,"Yellow, Blue, Green, Red, White"
Cook Islands,"Blue, Red, White"
Costa Rica,"Blue, Red, White"
Croatia,"Red, Blue, White"
Cuba,"Blue, Red, White"
Curaçao,"Blue, White, Yellow"
Cyprus,"Olive Green, Orange, White"
Czech Republic,"Blue, Red, White"
Ivory Coast,"Orange, Green, White"
Democratic Republic of the Congo,"Blue, Red, Yellow"
Denmark,"Red, White"
Djibouti,"Light Blue, Green, Red, White"
Dominica,"Green, Black, Red, White, Yellow"
Dominican Republic,"Blue, Red, White"
Ecuador,"Yellow, Blue, Red"
Egypt,"Black, Gold, Red, White"
El Salvador,"Blue, Gold, White"
Equatorial Guinea,"Green, Blue, Red, White"
Eritrea,"Green, Blue, Red, Yellow"
Estonia,"Blue, Black, White"
Eswatini,"Black, Blue, Red, White, Yellow"
Ethiopia,"Green, Blue, Red, Yellow"
Falkland Islands,
Faroe Islands,
Fiji,"Dark Blue, Gold, Light Blue, Red, White"
Finland,"White, Blue"
France,"Blue, Red, White"
French Guiana,
French Polynesia,"Red, Blue, Golden, White"
French Southern Territories,
Gabon,"Green, Blue, Yellow"
Gambia,"Red, Blue, Green, White"
Georgia (country),"Red, White"
Germany,"Black, Gold, Red"
Ghana,"Red, Black, Green, Yellow"
Gibraltar,"Gold, Red, White"
Greece,"Blue, White"
Greenland,
Grenada,"Green, Red, Yellow"
Guadeloupe,
Guam,
Guatemala,"Blue, White"
Guernsey,
Guinea,"Red, Green, Yellow"
Guinea-Bissau,"Red, Black, Green, Yellow"
Guyana,"Black, Green, Red, White, Yellow"
Himi,
Haiti,"Blue, Red"
Holy See (Vatican City State),"Yellow, White"
Honduras,"Blue, White"
Hong Kong,
Hungary,"Red, Green, White"
Iceland,"Blue, Red, White"
India,"Blue, Green, Saffron Orange, White"
Indonesia,"Red, White"
Iran,"Green, Red, White"
Iraq,"Red, Black, Green, White"
Ireland,"Green, Orange, White"
Isle Of Man,
Israel,"Blue, White"
Italy,"Green, Red, White"
Jamaica,"Green, Black, Gold"
Japan,"Red, White"
Jersey,
Jordan,"Black, Green, Red, White"
Kazakhstan,"Blue, Yellow"
Kenya,"Black, Green, Red, White"
Kiribati,"Red, Blue, Gold, White"
